件名標目	標目よみ	ID	同義語	上位語	下位語	関連語	注記	分類記号(NDLC)	分類記号(NDC9)	参照(LCSH)	参照(BSH4)	出典(BSH4)	出典	編集履歴	作成日	最終更新日
アブダビ	アブダビ	00560046	アブザビ;Abu Zaby (United Arab Emirates)					GE751	292.784	n81147502			アブダビ・ドバイ;Webster世界年鑑 ; NHK外国地名発音辞典 ; 世界大百科事典		1980-06-20	2010-10-05T14:19:35
アメリカ合衆国--歴史--1783-1865	アメリカガッシュウコク--レキシ--1783-1865	00560186	United States--History--1783-1865		アメリカ合衆国--歴史--1783-1809<00560185>			GH88	253.04;253.05;253.06	sh85140186			大陸国家の夢 / 安武秀岳 著		1980-06-20	2010-10-15T16:32:54
